Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
07-Sep-23,19727.05,0.59150326,,1.163737102,-1,,,18-09-2013,5899.450195,1.248777387,-1,,,,,,,,
08-Sep-23,19819.95,0.470926976,,1.158282438,-1,,,19-09-2013,6115.549805,1.204650479,-1,,,,,,,,
11-Sep-23,19996.35,0.890012336,,1.148064522,-1,,,20-09-2013,6012.100098,1.225378799,-1,,,,,,,,
12-Sep-23,19993.2,-0.015752875,,1.148245403,-1,,,23-09-2013,5889.75,1.250834076,-1,,,,,,,,
13-Sep-23,20070,0.384130604,,1.14385152,-1,,,24-09-2013,5892.450195,1.250260886,-1,,,,,,,,
14-Sep-23,20103.1,0.16492277,,1.141968154,-1,,,25-09-2013,5873.850098,1.254219954,-1,,,,,,,,
15-Sep-23,20192.35,0.443961379,,1.136920665,-1,,,26-09-2013,5882.25,1.252428918,-1,,,,,,,,
18-Sep-23,20133.3,-0.292437483,,1.140255199,-1,,,27-09-2013,5833.200195,1.262960254,-1,,,,,,,,
20-Sep-23,19901.4,-1.151823099,,1.153541962,-1,,,30-09-2013,5735.299805,1.284518726,-1,,,,,,,,
21-Sep-23,19742.35,-0.799190007,,1.162835225,-1,,,01-10-2013,5780.049805,1.274573792,-1,,,,,,,,
22-Sep-23,19674.25,-0.344943738,,1.166860236,-1,,,03-10-2013,5909.700195,1.246611462,-1,,,,,,,,
25-Sep-23,19674.55,0.001524836,,1.166842444,-1,,,04-10-2013,5907.299805,1.247118014,-1,,,,,,,,
26-Sep-23,19664.7,-0.050064677,,1.167426912,-1,,,07-10-2013,5906.149902,1.247360823,-1,,,,,,,,
27-Sep-23,19716.45,0.263161909,,1.164362753,-1,,,08-10-2013,5928.399902,1.242679327,-1,,,,,,,,
28-Sep-23,19523.55,-0.978370853,,1.175867094,-1,,,09-10-2013,6007.450195,1.22632727,-1,,,,,,,,
29-Sep-23,19638.3,0.587751715,,1.168996298,-1,,,10-10-2013,6020.950195,1.223577635,-1,,,,,,,,
03-Oct-23,19528.75,-0.557838509,,1.175553991,-1,,,11-10-2013,6096.200195,1.208474093,-1,,,,,,,,
04-Oct-23,19436.1,-0.474428727,,1.181157743,-1,,,14-10-2013,6112.700195,1.205212061,-1,,,,,,,,
05-Oct-23,19545.75,0.564156389,,1.174531548,-1,,,15-10-2013,6089.049805,1.209893208,-1,,,,,,,,
06-Oct-23,19653.5,0.551270737,,1.168092197,-1,,,17-10-2013,6045.850098,1.218538316,-1,,,,,,,,
09-Oct-23,19512.35,-0.718192688,,1.176542036,-1,,,18-10-2013,6189.350098,1.190286522,-1,,,,,,,,
10-Oct-23,19689.85,0.909680279,,1.165935749,-1,,,21-10-2013,6204.950195,1.187293978,-1,,,,,,,,
11-Oct-23,19811.35,0.617069201,,1.158785242,-1,,,22-10-2013,6202.799805,1.18770559,-1,,,,,,,,
12-Oct-23,19794,-0.087576061,,1.15980095,-1,,,23-10-2013,6178.350098,1.19240572,-1,,,,,,,,
13-Oct-23,19751.05,-0.216984945,,1.162323016,-1,,,24-10-2013,6164.350098,1.195113821,-1,,,,,,,,
16-Oct-23,19731.75,-0.097716324,,1.163459906,-1,,,25-10-2013,6144.899902,1.198896665,-1,,,,,,,,
17-Oct-23,19811.5,0.404170943,,1.158776468,-1,,,28-10-2013,6101.100098,1.207503546,-1,,,,,,,,
18-Oct-23,19671.1,-0.708679302,,1.167047089,-1,,,29-10-2013,6220.899902,1.184249886,-1,,,,,,,,
19-Oct-23,19624.7,-0.235879031,,1.169806417,-1,,,30-10-2013,6251.700195,1.178415434,-1,,,,,,,,
20-Oct-23,19542.65,-0.418095563,,1.174717861,-1,,,31-10-2013,6299.149902,1.169538765,-1,,,,,,,,
23-Oct-23,19281.75,-1.33502877,,1.190612885,-1,,,01-11-2013,6307.200195,1.168046007,-1,,,,,,,,
25-Oct-23,19122.15,-0.827725699,,1.200550147,-1,,,05-11-2013,6253.149902,1.178142235,-1,,,,,,,,
26-Oct-23,18857.25,-1.385304477,,1.217415053,-1,,,06-11-2013,6215.149902,1.185345505,-1,,,,,,,,
27-Oct-23,19047.25,1.007570033,,1.205271102,-1,,,07-11-2013,6187.25,1.190690533,-1,,,,,,,,
30-Oct-23,19140.9,0.491672026,,1.199374115,-1,,,08-11-2013,6140.75,1.199706876,-1,,,,,,,,
31-Oct-23,19079.6,-0.320256623,,1.203227531,-1,,,11-11-2013,6078.799805,1.211933315,-1,,,,,,,,
01-Nov-23,18989.15,-0.474066542,,1.2089588,-1,,,12-11-2013,6018.049805,1.224167336,-1,,,,,,,,
02-Nov-23,19133.25,0.758854398,,1.199853658,-1,,,13-11-2013,5989.600098,1.229981949,-1,,,,,,,,
03-Nov-23,19230.6,0.508800125,,1.193779705,-1,,,14-11-2013,6056.149902,1.216465926,-1,,,,,,,,
06-Nov-23,19411.75,0.941988289,,1.182639381,-1,,,18-11-2013,6189,1.190353854,-1,,,,,,,,
07-Nov-23,19406.7,-0.026015171,,1.182947127,-1,,,19-11-2013,6203.350098,1.187600229,-1,,,,,,,,
08-Nov-23,19443.5,0.189625233,,1.180708206,-1,,,20-11-2013,6122.899902,1.203204383,-1,,,,,,,,
09-Nov-23,19395.3,-0.247897755,,1.183642429,-1,,,21-11-2013,5999.049805,1.22804448,-1,,,,,,,,
10-Nov-23,19425.35,0.154934443,,1.181811396,-1,,,22-11-2013,5995.450195,1.228781786,-1,,,,,,,,
12-Nov-23,19525.55,0.515820822,,1.17574665,-1,,,25-11-2013,6115.350098,1.204689819,-1,,,,,,,,
13-Nov-23,19443.55,-0.419962562,,1.18070517,-1,,,26-11-2013,6059.100098,1.215873625,-1,,,,,,,,
15-Nov-23,19675.45,1.192683435,,1.16678907,-1,,,27-11-2013,6057.100098,1.216275095,-1,,,,,,,,
16-Nov-23,19765.2,0.45615221,,1.161490903,-1,,,28-11-2013,6091.850098,1.209337046,-1,,,,,,,,
